,description,type,Rent,Rooms,Living space,geometry,Gardens,PubliBike,Park,Public_transport,Year,District,CHF/m2/year
46,"
Beautiful and spacious 2-room apartment in Oerlikon
The furnished apartment has a large balcony, which extends over 3 rooms, parquet, underfloor heating and is newly furnished. 2 bathrooms.Completely furnished and equipped.
High-speed internet
private laundry room
2 Storage rooms
garage available
shops and restaurants nearby
fully equipped

Note: The prices and dates shown are not necessarily final and should only be used be used for informational purposes. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3450.0,9.0,110.0,POINT (8.5454321 47.4172382),0.004953825430010536,0.0004925988463937354,5.097370792265449e-05,0.0005158759724055162,1934.0,Seebach,376.3636363636364
51,"
Beautiful attic apartment in the middle of Seefeld
We are renting this fantastic 2.5-room apartment with approx. 79 m2 in the middle of Seefeld as of December 1, 2023.

The property was built in 2013 and offers you every comfort.







Read more",Attic flat,3900.0,2.5,79.0,POINT (8.550845 47.3650171),0.02009904595082235,0.0029665921697794462,0.0008515382037618968,0.0021131103948704376,2013.0,Mühlebach,592.4050632911392
52,"
Versatile studio with a view of the Sihl and state-of-the-art equipment
From April 1, 2024, we will be renting out a commercial studio in Brunau that was renovated in June 2023 and has a direct view of the Sihl. The versatile studio has been completely renovated and is therefore in top condition. The studio, which has a designer floor, offers a creative center of life thanks to the numerous windows, skylights and inspiring views.











Read more",Apartment,3500.0,2.5,110.0,POINT (8.5252743 47.354418),0.010485600202880122,0.0021577327931428017,0.0002847282052675621,0.0018047300695519578,1990.0,Enge,381.8181818181818
54,"2.5 Zr im Weinegg, 10 Min. z Seefeld, voll mobliert, flex Mietdauer, S...
Fuhl dich wie zu Hause, ganz egal wo du mit wohnen willst. Du wirst von dieser anspruchsvoll moblierten District 8, Weinegg 2-Zimmer Wohnung mit moderner Inneneinrichtung, voll ausgestatteten Kuche, und anspruchsvoll Wohnzimmer mit toller Aussicht begeistert sein. Optimal gelegen, hast du das Beste, was Zurich zu bieten hat, ganz in der Nahe! (ID",Furnished flat,3083.0,4.0,54.0,POINT (8.5610039 47.3680861),0.009685607867059192,0.0010932330394727108,3.481645692513292e-05,0.00047854633531133674,1912.0,Hottingen,685.1111111111111
56,"
2 room University
Quiet 2 room apartment in the center of Zurich
- completely furnished
- fully equipped kitchen
- Wi-Fi internet access incl.
- 24-hour hotline
- FLAT TV incl.
- all additional costs included (incl. electricity , hot water, communal laundry room in the basement, etc.)
- SERAFE NOT INCLUDED.
- Pets on request
- CLEANING 1 time per week included but without bed linen and towels
- Garbage disposal included
- Final cleaning included

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2831.0,3.0,40.0,POINT (8.5482208 47.3836485),0.01122927178605124,0.001293217075474345,0.0008641462601312991,0.000457006234130498,1912.0,Oberstrass,849.3
59,"
Living it UP! exclusive penthouse apartment on the 23rd floor
Have you always wanted to live on the top floor of a high-rise building? Then we have the perfect apartment. Enjoy the breathtaking view.

In a TOP location in the trendy Z district",Apartment,4395.0,2.5,128.0,POINT (8.5102824 47.3904653),0.007105095959128727,0.0005449837933568448,0.000496633514859485,0.0005061894760217752,2013.0,Escher Wyss,412.03125
60,"2 Bedroom Apartment Mini
This modern 2 bedroom apartment is suitable for up to 4 people. Its Asian inspired furnishing includes stylish onyx stone, warm gold and yellow shades and predominant round forms. The two separate bedrooms each boast a comfortable double bed, flat screen TV and wardrobe. The fully fitted kitchen caters for all the daily needs: a glass ceramic stove, microwave with baking and grill function, coffee maker, cutlery and crockery. The lounge area with a sitting corner and flat screen TV provides sufficient space to relax. The modern bathroom with a shower offers hand towels, a hairdryer and company-branded toiletries.

This flagship apartment house is located in the urban area of the 3rd district of Zurich. The SZU station Giessh'bel is situated just on its doorstep (five minutes to the main railway station), while the surrounding traffic arteries can be accessed quickly by a private car. The closest bus and tram station is also not far away. The city center and the lake can be reached within a few minutes by public transport. The direct vicinity offers some restaurants, bars, as well as shopping possibilities. The shopping center Shilcity with numerous shops, restaurants and a cinema is just around the corner. Moreover, local recreation areas Sihl and Allmend Brunau are situated nearby. The Airport Zurich Kloten can be reached within 30 minutes.

Read more",Apartment,3390.0,2.0,32.0,POINT (8.522196068843808 47.3622153),0.010710492337024494,0.0024896429521492906,0.0003572627034323665,0.0004936660141055884,2013.0,Alt-Wiedikon,1271.25
61,"
In the heart of Langstrasse
We rent this beautiful apartment, which offers you the following standard of construction:

- open kitchen
- Glass ceramic stove
- Dishwasher
- Bathroom with bathtub
- Living room and corridor with parquet floors
- Bedroom with laminate flooring
- Built-in wardrobe in corridor
- Balcony
- Cellar compartment
- Parking space available in the underground car park for CHF 180/month

The property is located in the lively Langstrasse district and is well connected to public transport. The area is not for those seeking peace and quiet and impresses mostly with its wide range of restaurants and nightclubs of all kinds. Zurich main station can be reached on foot in 10 minutes.

Don't miss out on a visit. We are looking forward to your contact.
Read more",Apartment,1700.0,2.0,47.0,POINT (8.5261038 47.3802356),0.016626332160693532,0.003142403314286851,0.00015960936920093112,0.0016502260465398827,1985.0,Langstrasse,434.0425531914894
62,"
Modern, charming 3.5 room apartment directly at Zurich main station
In the Gleistribüne - located directly at Zurich Main Station - we rent this bright, modern 3.5-room apartment with a retro look on the 7th floor. It is ideal for a couple or a small family.

The apartment will be ready for occupancy from December 1st, 2023 and has the following standard of construction:










Shops and public transport (train, tram, bus) are in the immediate vicinity.

The viewing will take place on Thursday from 4:00 p.m. to 4:30 p.m.

Have we piqued your interest?

We are looking forward to your contact.

Read more",Apartment,4335.0,3.5,74.0,POINT (8.5326966 47.380769),0.01752529437269529,0.00047972739184403925,0.00012697610108908345,0.0026163684354114326,2019.0,Langstrasse,702.972972972973
64,"
Friendly business apartment in Zurich
This apartment offers everything you need for a carefree life. In addition to a double bed, this apartment offers a kitchen and a bathroom with a shower or bath.
This business apartment is located in Zurich-Oerlikon, in an up-and-coming district for culture, trade fairs and sports and offers self-service check-in, an equipped kitchen, a bathroom and a balcony with a panoramic view.
The friendly and attractively designed apartment has an absolutely fair price and a perfect cleaning service. This business apartment offers relaxation and tranquility for both leisure and business travelers.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2100.0,1.0,20.0,POINT (8.5465725 47.4136512),0.007252728130822688,0.0025594507110574412,0.0002472993240050351,0.0005736323736836573,1999.0,Oerlikon,1260.0
68,"
Modern apartment in Oerlikon
This apartment is a beautiful and modern furnished 1-room apartment. The business apartment offers a double bed on its 18m2 and there is also a dining area with a table and a fully equipped kitchen. Of course, this modern apartment is equipped with a bathroom with a shower.
In the business apartment there is free WiFi access and a flat screen TV. There are washing machines in the basement at your disposal. Storage rooms for long term residents are also available. This inexpensive and central Zurich apartment leaves nothing to be desired.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2520.0,1.0,18.0,POINT (8.5574123 47.4046105),0.013622234413605919,0.005050612282809679,0.0002506537217798591,0.0009164245487727618,1935.0,Schwamendingen-Mitte,1680.0
69,"
spacious apartment in a central location on Schaffhauserplatz
We are renting this modern 3-room apartment in the immediate vicinity of Schaffhauserplatz as of February 1, 2024 with the following advantages:

- Elegant acacia parquet in ship-floor style
- cozy balcony
- New kitchen with glass ceramic, steamer, dishwasher, granite top
- Exclusive bathroom/toilet and separate guest toilet with dark slab floor
- Higher standard of construction with fine materials

Live your dream home in one of the most sought-after locations in Zurich! An oasis of peace with a central location.

The tram station “Schaffhauserplatz” is 100m away. From there you can reach Zurich main station within 6 minutes.
A parking space can also be rented.

The property was completely renovated in 2010.
Read more",Apartment,2960.0,3.0,93.0,POINT (8.538680217805279 47.3905153),0.011540943903008428,0.0013739710289234716,0.00023916058976008369,0.001159926164314831,1938.0,Unterstrass,381.93548387096774
71,"
Central living in Wollishofen - top residential area!
We are renting this great 3-room apartment in a well-kept high-rise right next to Wollishofen train station. The property is ideal for families or shared apartments. In addition to the ideal room layout, this apartment has the following amenities to offer:

- Built-in wardrobe in the corridor
- all living rooms with parquet floors
- spacious living room
- two bright bedrooms
- closed kitchen
- with glass ceramic stove and oven
- with a large refrigerator
- Bathroom
- cozy balcony
- Ceiling heating
- Basement compartment
- Elevator

Parking spaces in the underground car park can optionally be rented for CHF 200.00 if required and available.

The Wollishofen train station is located directly next to the property. From here you can enjoy ideal connections. Other public transport (Morgental stop, tram no. 7 and bus no. 66, 70 and 72) can be reached in a few minutes on foot. The A3 motorway junction is about 2 minutes away by car, from where you can quickly reach the surrounding cantons of Schwyz, Aargau and Zug.

Various service providers and numerous shopping opportunities (Coop or Migros) can be reached within a short walk. The beautiful Lake Zurich, which offers many opportunities for leisure activities, is also not far from the property.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2269.0,3.0,70.0,POINT (8.533391069292415 47.34686315),0.014511238990738076,0.002846625336383886,0.0003531673352913677,0.0005029719935801195,1967.0,Wollishofen,388.9714285714286
76,"
In the middle of the city of Zurich
We rent this well-located 1.5 room apartment in the middle of Zurich for singles, students or anyone who loves city life.

The apartment offers the following standard of construction and was completely renovated in 2016:

- Flooring in the living area and kitchen with parquet floors
- Bathroom with a shower
- with tiled floor
- modern, bright kitchen
- with dishwasher
- with glass ceramic stove and oven
- Screed compartment for sole use
- Laundry room in the basement for shared use
- Roof terrace with a view over Zurich for shared use

The images correspond to the construction standard and may differ slightly from the object on offer. You can find the exact room layout in the attached floor plan.

Unfortunately we do not have any free parking spaces here.

Please note the minimum contract period of 1 year.

Langstrasse is in the immediate vicinity, where you will find various restaurants, bars and shops.
A walk to the Sihl River invites you to relax and linger.

Does this beautiful apartment meet your expectations?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1820.0,1.5,25.0,POINT (8.5284567 47.3762843),0.021214741211709017,0.0018579038516254964,0.0005651592094749208,0.0027244379093223363,1892.0,Langstrasse,873.6
77,"2 Bedroom Apartment Senior Balcony
This spacious 2 bedroom flat leaves nothing to wish for. Its chic furnishing, whether with Asian-style accessories, noble brown tones or colorful baroque details, makes this apartment unique. Two separate bedrooms with comfortable double beds, flat screen TV (excl. tax for the use of TV), wardrobe and a working desk provide sufficient privacy. The kitchen is modern and completely fitted with a glass ceramic stove, microwave with baking and grilling options, dishwasher, coffee maker, as well as all the necessary kitchen utensils. The airy dining area with an elegant glass table provides sufficient space for up to 6 people. The open living area with designer furniture and leather sofas is a perfect place to relax. A modern bathroom with a shower, hand towels, a hair dryer and toiletries caters for all needs. Selected apartments also feature one or two balconies.

The apartments are set right in the heart of the lively 4th district there is no better place to experience the urban charm of Zurich at first hand. Diverse restaurants, cafes, shops and local pubs are just a few steps away. The legendary Langstrasse with its numerous bars and clubs also lies a short walking distance from the building. Additionally, there are green spaces and small parks in close proximity. What is more, the location offers superb transport links. Right on the doorstep there is a tram stop Bezirksgebäude. The railway station Wiedikon can be reached within 2 minutes walking distance. From here, there are direct connections to the Airport Zurich Kloten (approx. 20 minutes). The main railway station is located 10 minutes away. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,4680.0,2.0,54.0,POINT (8.5260791 47.3732762),0.020071022621028226,0.0010768600607451227,8.301322465187158e-05,0.0009964155374345947,1891.0,Werd,1040.0
78,"Wunderbare Wiedikon 1.0 Zim.+W-T, +Lag, 1 Min. zum Markt
Entdecke mit dieser Studio/1-Zimmer Wohnung in District 3, Wiedikon, was Zurich zu bieten hat. Komm an, und lebe dich sofort in dieser zeitgenossisch eingerichteten Wohnung mit voll ausgestatteter Kuche, freundlich Wohnzimmer und unserem engagierten Support-Team vor Ort ein. (ID",Furnished flat,2992.0,1.0,28.0,POINT (8.5134876 47.3752681),0.00769869154698629,0.0012455327016894179,0.00011495803121312787,0.0013820109124794708,1910.0,Sihlfeld,1282.2857142857142
79,"
Bright and modern studio apartment
The apartment is on the 2nd floor of an apartment building. The property is divided into kitchen, bathroom and living room / bedroom. The kitchen is equipped with all important cooking utensils.

The large balcony with a view of the Prime Tower invites you to linger, especially on nice days.

The daylight bathroom has a bathtub.

Note: the prices shown and data are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3119.0,1.0,40.0,POINT (8.53513 47.388169),0.011176448312857351,0.0014018199214876458,3.580783989144212e-05,0.000999108076976856,1929.0,Wipkingen,935.7
80,"
Top modern apartment in District 9, Zurich Albisrieden
Find your new home here in the trendy Albisrieden district, away from the hustle and bustle. The light-flooded apartment has an optimal floor plan, which offers you the following highlights:

-High-quality interior design with a well-thought-out color concept
-Noble parquet flooring
-Bathroom with bathtub
-Open kitchen with, among other things, induction hob and dishwasher
-Reduit
-Large garden seating area
-Washing machine and tumbler in the bathroom
-Personal elevator
-Underground car park
-Bike room
-Cellar compartment

We are pleased to present this apartment to you.
Read more",Apartment,3060.0,3.5,72.0,POINT (8.495951357800227 47.3736528),0.0059847548035604605,0.0016891909218222471,0.0007228306607698256,0.0008521333257601302,1960.0,Albisrieden,510.0
81,"
Exclusive lake view: Luxurious living on the lake promenade!
Welcome to your exclusive dream home! We present you an exquisite luxury apartment that not only enchants with charm and elegance, but also offers a first-class location directly on the picturesque lake promenade, crowned by a unique lake view.

This jewel was extensively modernized in 2011 and is characterized not only by its spacious, light-flooded rooms, but also by a contemporary standard of construction.

Let yourself be seduced by the following sophisticated amenities as of April 1st, 2024:

- Large living/dining room with oak parquet floors
- three bedrooms with oak parquet floors
- Entrance with oak parquet floors and built-in cupboards
- open and modern kitchen
- with granite top, dishwasher and plenty of storage space
- separate kitchen island with glass ceramic hob, steam hood and bar
- Bathroom with slab floor, bathtub, shower and toilet
- two further bathrooms with slab floors, shower and toilet
- own washing tower
- spacious roof terrace with a beautiful view
- Basement compartment
- Elevator

In just a few minutes' walk you can reach Zurich's renowned Bellevue, from where you can explore all directions with regular tram connections. Stadelhofen train station, a hub for first-class S-Bahn connections, is also within easy walking distance.

In addition, there is a wealth of shopping opportunities, first-class restaurants and bars as well as typical Zurich boutiques and service providers right in your neighborhood.

The enchanting promenade along Lake Zurich is practically on your doorstep and invites you to spend relaxing moments by the water, especially in the summer months.

This maisonette apartment offers you a unique perspective on the vibrant city of Zurich. Live your dream of luxury and city life in perfect harmony. Welcome to your new home.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”.

You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Duplex,13250.0,4.0,215.0,POINT (8.546787605923864 47.36368),0.0243267276711979,0.0025462581508815087,0.00020469037072712214,0.00197325373452567,1910.0,Seefeld,739.5348837209302
84,"
Hip Altstetten, 2.5ZW with cellar
Feel at home, no matter where you want to live. You will love this comfortably furnished District 9, Altstetten 2-room apartment with modern interior design, fully equipped kitchen, and cozy living room. Ideally located, you are close to the best Zurich has to offer! (ID",Furnished flat,3406.0,1.0,79.0,POINT (8.4899933 47.3870759),0.005432296530156029,0.0009695895252849406,3.623217501585247e-05,0.0001427574865126529,1953.0,Altstetten,517.367088607595
85,"
Living near Triemli Hospital
You like the city and want to live there. Where distances are short: to work, to culture, to going out.

Then Triemlistrasse 153, 8047 Zurich is your best address!

- entire apartment with parquet floors
- modern kitchen with dishwasher
- and glass ceramic stove
- Bathtub/toilet
- Balcony
- Cellar compartment

The photos are sample images that show the standard of construction. You can see the exact room layout in the floor plan.

If available, a parking space can be rented for CHF 160.00 per month.

The “Zürich, Triemli” bus and tram stop is very close to the property. Various shopping and leisure options can be easily reached on foot.

Does this beautiful apartment meet your expectations?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2603.0,3.5,75.0,POINT (8.494104055823108 47.36849145),0.008635252741003975,0.007171137133885945,0.00013536118876544855,0.0013176283888193425,1980.0,Albisrieden,416.48
90,"
Renovated apartment in a central location
We rent this renovated apartment in a quiet and very central location. The apartment offers you the following standard of construction:

- closed kitchen
- Glass ceramic stove
- Granite cover
- Dishwasher
- Washing tower (washing machine and dryer)
- Bathroom with bathtub
- Slab floors in kitchen and bathrooms
- beautiful parquet floors in the living room and bedroom
- spacious balcony facing the inner courtyard
- Roof terrace for shared use

The property is located in a quiet neighborhood street between Manesseplatz and Schmiede Wiedikon. Public transport is easily accessible on foot. Numerous shopping opportunities as well as restaurants and other small businesses are in the immediate vicinity. The property does not have a lift.

Let us convince you of the apartment during a viewing. We are looking forward to your contact.
Read more",Apartment,3070.0,3.0,77.0,POINT (8.521375804343869 47.367320500000005),0.014432190517582391,0.002080403317466083,0.00010633991794371862,0.0016516335557302283,1896.0,Alt-Wiedikon,478.4415584415584
