,description,type,Rent,Rooms,Living space,geometry,Public_transport,Year,City
10,"
Near Breiti, in a quiet location
We rent a single apartment. The apartment is centrally located in Winterthur and scores with bright and attractive rooms.

The apartment also has:
- Kitchen with glass ceramic stove
- Parquet in the living room/bedroom
- Slab flooring in kitchen and bathroom
- Enough storage space thanks to the built-in cupboard and your own cellar compartment

The property is located close to various shopping opportunities, public transport and close to nature.

(The photos correspond to the standard, deviations are possible.)
Read more",Apartment,1045.0,1.0,30.0,POINT (8.733306667045273 47.48955835),0.001877978257711376,1965.0,Winterthur
11,"
First rental Kloten - your dream apartment is waiting for you!
www.alte-landstrasse-kloten.ch

Are you longing for a new living space that meets your needs?",Apartment,1875.0,2.5,57.0,POINT (8.5827734 47.4658959),0.0014169537322843962,2020.0,Kloten
12,"
Sunny and quiet residential area
We rent this 3-room apartment in a sunny and green residential area. This 3-room apartment impresses with the following amenities, among other things:

- Kitchen with usual comforts
- Bathroom/toilet with window
- with slab floor and window
- with built-in wardrobe
- Balcony
- Cellar compartment

The photos are sample images that show the expansion standard. You can find the exact room layout in the floor plan.

Unfortunately there is no parking space at this property.

In the nearby center of Rüti you will find shops, various service providers and good restaurants.

In just a few minutes' walk you can reach the stop ""Rüti ZH, Seefeldstrasse"", from where you can take bus number 885 to Rapperswil SG train station with good S-Bahn connections.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,900.0,3.0,50.0,POINT (8.841591203691273 47.25344015),0.002001742181661396,1953.0,Rüti (ZH)
13,"
Right on Weinplatz, attic apartment with terrace and dream view
We rent this beautiful and charming attic apartment in a prime location directly on Weinplatz and in close proximity to the main train station, Bellevue, Limmatquai and Bahnhofstrasse.

The apartment particularly impresses with the following advantages:












Read more",Roof flat,3850.0,2.5,65.0,POINT (8.541318095159816 47.3714844),0.0007321777722598099,1674.0,Zürich
14,"
Nice apartment in the beautiful Enge district - limited until September 30, 2024
In a top residential area near Lake Zurich, we are renting this great 3-room apartment in a well-kept property for a limited period until September 30th, 2024.

In addition to the central residential location, this property offers you the following standard of development:

- practical closet in the corridor
- Living room and bedroom with parquet floors
- Living room with access to the larger balcony
- Kitchen and corridor with PVC flooring
- Lockable kitchen with stove
- with oven and large refrigerator
- with access to the small balcony
- Bathroom with bathtub and sink
- separate toilet with washbasin
- Basement and attic compartment

The sample photos show the standard of the apartment and may differ from the actual floor plan.

Unfortunately, there are currently no parking spaces available at this property.

The apartment is centrally located in the middle of the city of Zurich. You can easily reach the train station and the “Enge” bus and tram stop with various lines in different directions on foot. You can reach the surrounding city districts and Zurich main station within a short time!

Optimal shopping opportunities (such as Migros, Coop, pharmacy) as well as numerous service providers are also in the immediate vicinity. The beautiful Lake Zurich, which invites you to swim, walk and relax, is practically on your doorstep. Here you can leave the stressful everyday life behind you!

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2130.0,3.0,81.0,POINT (8.533411497057157 47.3629586),0.0016836807898987641,1935.0,Zürich
15,"
Dream apartment with family friendliness and excellent location in Wetzikon ZH
This attractive 4.5 room apartment is located in Wetzikon ZH. The apartment impresses with its brightness and openness. The spacious living room is flooded with light and offers a pleasant feel-good space. The open kitchen complements the modern living concept. The apartment has three bedrooms and two bathrooms, providing enough space for all-day privacy. An additional plus point is the balcony, which invites you to relax and enjoy the fresh air. A cellar and a practical elevator are also part of the offer.

A parking garage is available for your vehicles. At a distance of only 231m, shopping opportunities are in the immediate vicinity. Schools can also be easily reached in 142m and transport links are only 888m away.

This property was built in 2008. It has since been renovated and is in a well-maintained condition. The attractive feature of family friendliness characterizes this property. The area is ideal for families with children and offers restaurants, cafés, bars, a park, shopping opportunities, nature, playgrounds and schools in the immediate vicinity.






Read more",Apartment,2680.0,4.5,109.0,POINT (8.8142415 47.33200975),0.001451957064656428,2008.0,Wetzikon (ZH)
16,"
First rental Kloten - your dream apartment is waiting for you!
www.alte-landstrasse-kloten.ch

Are you longing for a new living space that meets your needs?",Apartment,2265.0,3.5,69.0,POINT (8.5827734 47.4658959),0.0014169537322843962,2020.0,Kloten
17,"
City oasis in a prime location
We rent this beautiful apartment in a top location. The apartment offers you the following standard of development:

- closed kitchen",Apartment,2830.0,3.0,68.0,POINT (8.527902848050783 47.3603449),0.001922474401747201,1954.0,Zürich
18,"
Urban living in Anken Park
Anken Park on Rosenstrasse and Ankengasse in Kempten is an ensemble of modern residential buildings surrounded by greenery.
The landscaped, park-like surroundings characterize the development and thus offer a high quality of life. Living in the park here means that every apartment has a private outdoor space as a garden or balcony.
Thanks to the groundwater supply and the photovoltaic system, the buildings also make an important contribution to preserving the environment by avoiding fossil fuels.
Living in Anken Park means living sustainably.

This light-flooded 2.5-room apartment in a natural and well-kept environment offers you the following amenities:

- Oak parquet floor (laid wildly)
- modern Electrolux appliances
- Induction hob
- Dishwasher
- Floor and walls with porcelain stoneware tiles (wildly laid)
- Walk-in, threshold-free shower with glass partition and rain shower
- Wardrobe closet
- Washing tower (washing machine and tumbler)
- Central multimedia distribution with allocation of cable and fiber optics
- Floor heating
-Free cooling

The photos are sample images that show the expansion standard. You can see the exact room layout in the floor plan.

If required and available, a parking space can be rented for CHF 140 per month or a parking space for CHF 100 per month.

The semi-public, park-like outdoor space is carefully designed with lawns as well as bushes and mounds of earth that prevent the view into the ground floor apartments.

There is a child-friendly playground in the center of the property.

Kempten train station can be easily reached in 5 minutes on foot and offers a connection to Zurich main station in less than half an hour.

Also visit our website https://anken-park.ch.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1552.0,2.5,66.0,POINT (8.8077569 47.3335283),0.0022125890601793507,1960.0,Wetzikon (ZH)
19,"
Idyllic apartment in a child-friendly area
The idyllic community of Obfelden is located on the edge of the Knonaueramt and near the Reuss Valley.

We rent a modern and quiet apartment immediately or by arrangement.

The attractive and spacious apartment offers the following highlights:

- Kitchen with dishwasher and ceramic hob and ceramic plates
- Entire apartment with long-strip oak parquet
- Bathroom/toilet with ceramic tiles
- Shower/toilet with ceramic tiles
- Corridor with 3-part closet
- Spacious garden seating area
- Shared laundry room in the basement


Further information and floor plans at:
www.reusswaerts.ch

We look forward to your inquiry and will be happy to answer any questions you may have.
Read more",Apartment,1890.0,4.5,96.0,POINT (8.411369830590228 47.26385015),0.0017140809367021605,2006.0,Obfelden
20,"
Experience more QUALITY of life...
Spend cozy hours in your own seat and enjoy life...

- High standard of construction
- Good room layout
- Spacious kitchen with dishwasher and kitchen island
- Wet rooms and kitchen slab floor
- Bathroom with bathtub/toilet, guest toilet with shower/toilet
- Parquet in all rooms, kitchen and bathroom with tiles
- Washer/dryer in the apartment
- Elevator
- Cellar compartment available
- Parking spaces can be rented for CHF 130 per month.

Connoisseurs will find their place here!

*The photos show the standard
Read more",Apartment,1595.0,3.5,96.0,POINT (8.8371858 47.3028847),0.0038090962737080698,2010.0,Hinwil
21,"
First rental Kloten - your dream apartment is waiting for you!
www.alte-landstrasse-kloten.ch

Are you longing for a new living space that meets your needs?",Apartment,3040.0,4.5,93.0,POINT (8.5827734 47.4658959),0.0014169537322843962,2020.0,Kloten
22,"
Beautiful apartment in a central location!
As of February 16, 2024, we are looking for new tenants for this modern apartment on the border of Opfikon and Wallisellen, which has the following advantages to offer:

- Living room and corridor with parquet floors
- Room is being laid with new parquet flooring
- Kitchen with glass ceramic stove
- Bathroom/WC with slab floor
- Built-in wardrobe
- Very large balcony (20 m2)
- Basement, cellar

The entire apartment will be freshly painted before the start of the rental period.

The photos are sample images that show the standard of construction. You can see the exact room layout in the floor plan.

The connection to public transport is in the immediate vicinity and provides connections to Glattbrugg train station and Zurich Airport.

A parking space can be rented for CHF 130.00 per month.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1760.0,3.5,85.0,POINT (8.576458080319709 47.4246012),0.0010684734692162892,1998.0,Opfikon
23,"
Family-friendly 4.5 room apartment with garden seating
This 4.5-room apartment is available for rent on January 16, 2024 and impresses with its central and family-friendly location. The kitchen and bathroom were renovated in 2010. There are various shopping opportunities within a few minutes' walk.

For your living comfort:


- spacious kitchen with glass ceramic and dishwasher as well as windows (renovated in 2010)
- Parquet floors in all living rooms
- Bathroom/toilet with double sink and bathtub (renovated in 2010)
- separate toilet (renovated in 2010)
- Garden seating area (10m2)
- Basement compartment (5.9m2) for additional storage space

General information:


- Laundry room and drying room for shared use
- There is no elevator available
- Full-time caretaker in the property
- Bicycle cellar
- Outdoor parking space is available for CHF 60.00/month. can be rented for this purpose

Please note that the pictures show the standard of construction and come from a similar apartment (not on the ground floor).
Have we piqued your interest?

The viewing will take place as follows:Date: Monday, December 11th, 2023When: 4:00 p.m. to 5:00 p.m
No advance registration is necessary. The caretaker will welcome you at the entrance to the house.
Read more",Apartment,1550.0,4.5,88.0,POINT (8.437304994188583 47.3516222),0.0012340928655108776,1969.0,Birmensdorf (ZH)
24,"
Finally my apartment
We are renting an attractive apartment as of February 1, 2024 or by arrangement:

- Generous floor plan
- Parquet throughout the apartment
- Kitchen with dishwasher and ceramic glass
- Original bathroom and separate toilet
- Well-sunny balcony
- Quiet location and yet close to the train station (approx. 5 min.)

Parking spaces available in underground car park (CHF 120/month)

The pictures show the standard and may differ from the apartment to be rented.

We look forward to your inquiry!
Read more",Apartment,1220.0,3.0,70.0,POINT (8.386919 47.45672),0.0020075729282847832,1973.0,Otelfingen
25,"
Very centrally located apartment!
- Parquet flooring in the living-dining area
- Modern kitchen with GS and GK
- Bright bathroom
- Spacious closets
- 1st floor with two balconies
- Bus stop and shopping nearby
- A few minutes walk to the city center


The pictures show the standard of the property and do not always correspond to the apartment on offer.",Apartment,1320.0,3.0,56.0,POINT (8.733264847423882 47.49145605),0.0010491910037920664,1958.0,Winterthur
26,"
Spacious - close to nature - your new home?
In an idyllic and quiet residential area, we are renting out this charming 3.5-room apartment, which is located in a well-kept property, immediately or by arrangement. In addition to an ideal room layout, this property offers you the following comfort:

- entire apartment with parquet floors
- spacious living/dining area
- open kitchen with granite stone top in anthracite
- with dishwasher and glass ceramic hob
- with refrigerator and freezer drawers
- modern, bright bathroom/toilet with sink base
- separate guest toilet
- Wet cells with slab floors in anthracite
- spacious balcony with a view of the countryside
- useful reduit
- Basement compartment
- Lift available

You can find the exact room layout in the attached floor plan.

If required and available, parking spaces can be rented for CHF 130.00 per month, uncovered parking spaces for CHF 60.00 per month and covered parking spaces for CHF 90.00 per month.

The property is located on the Sonnenhügel in Zurich-Leimbach in an elevated residential area, adjacent to the agricultural zone. Within a short time you will reach the local recreation area, which invites you to take long walks and relax.

Optimal shopping opportunities such as the ""Coop-Center Leimbach"" and the swimming pool ""Wassersportcenter Leimbach"" can be easily reached on foot and are just a stone's throw away from the property.

Furthermore, the “Mittelleimbach” bus station, which is served by bus stations 70 and 151, is in the immediate vicinity. Thanks to the convenient traffic situation, you can reach the city of Zurich in just 20 minutes by car. So you are in the countryside and still centrally located.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,1830.0,3.5,86.0,POINT (8.513736798884615 47.3256324),0.0012120572464390969,1974.0,Zürich
27,"
3-room apartment in a quiet, beautiful residential area
We rent this modern 3-room apartment at Lochäckerstrasse 23, which offers you the following standard of construction:

- all living rooms with parquet floors
- beautiful and attractive living area
- two spacious bedrooms
- closed and bright kitchen
- Balcony
- with granite top, glass ceramic stove and dishwasher
- Bathroom/toilet with bathtub
- Basement compartment

During the renovation (2015), in addition to the installation of new kitchens and new bathrooms, the sunny balconies were also enlarged. Furthermore, the facade of the property was also newly insulated.

The pictures are sample photos which represent the expansion standard for illustrative purposes. You can find the exact room layout in the attached floor plan.

A parking space for CHF 160.00 / month can be rented separately upon request.

Shops such as a SPAR with groceries for your daily needs can be found just a 10-minute walk from the property.

For families with school-age children, the Spitz schoolhouse, where primary and secondary school can be attended, is located in the immediate vicinity.

The Reutlen kindergarten is located in the middle of the Lochäcker development and offers your children a great environment for games and fun.

The Kloten train station, which is served by the S-line 7 with connections to Rapperswil SG, Zurich main station or Winterthur, is easily accessible on foot.
The bus stop ""Kloten, Wallisellenstrasse"" with the bus connection 731 towards Kloten train station or Zurich Airport is also within a short walking distance of the property.

The nearby forest invites you to enjoy extensive leisure activities such as jogging, walking or cycling. For water enthusiasts, the Schluefweg indoor and outdoor swimming pool can be reached in just a few minutes.

For those seeking adventure, the Zurich Rope Park, which is located right next to the Schluefweg indoor and outdoor swimming pool, leaves nothing to be desired.

Have we piqued your interest?

Then don't hesitate for long and contact us directly in the advertisement via ""Contact provider"" to receive the viewing information.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,1626.0,3.0,73.0,POINT (8.5904508 47.4449719),0.0009923186951174277,1965.0,Kloten
28,"
Ultra-modern attic apartment with a great terrace to enjoy
We are renting this bright 3.5 room apartment as of March 16, 2024, which, in addition to the modern standard of construction and the large window fronts, also offers you the following features:

- Built-in cupboards in the entrance
- entire apartment with parquet floors
- Bathroom with slab floor
- spacious and light-flooded living area
- open modern kitchen
- Dishwasher
- Glass ceramic stove
- large bathroom with window
- separate shower with toilet
- own washing tower
- spacious terrace invites you to linger
- Basement compartment
- Elevator

The Hinterroos development in Bachenbülach was built in 2010 to the Minergie standard.

These are sample images that show the standard of construction.
Please see the floor plan for the exact room layout.

If required, parking spaces can be purchased for CHF 150.00 per month
can be rented for this purpose.

The connection to public transport (Alte Post bus stop
is served by lines 530 and 531 in the direction of Bülach train station or Zurich Airport) and various shopping opportunities (Jumbo/Coop) are in the immediate vicinity.

Does this beautiful apartment meet your expectations?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Attic flat,2000.0,3.5,92.0,POINT (8.5433961 47.5035137),0.0025658237461173385,2010.0,Bachenbülach
29,"
Top apartment in Urdorf!
We are renting this 2.5 room apartment in Urdorf as of January 16, 2024. You can reach Zurich and Baden within 20 minutes by car. The motorway connection, the bus stop, the local recreation area and various shopping opportunities can be found in the immediate vicinity.

The bright apartment has the following amenities

- New parquet in the living room
- Modern kitchen
- Refrigerator, with freezer compartment
- Bathtub in the wet room
- Great transport connections


The photos correspond to a similar apartment.

Have we piqued your interest? We would be happy to show you the apartment personally. We are looking forward to your contact.
Read more",Apartment,1300.0,2.5,58.0,POINT (8.4193209 47.3899441),0.0008473855634106602,1967.0,Urdorf
30,"
Living in the countryside near Lake Greifensee
We rent a spacious 2-room apartment in a well-kept development. The residential property offers you the following amenities:

- all rooms with parquet floors
- bright, modern kitchen with glass ceramics
- bright, modern bathroom/toilet
- Redoubt
- Balcony
- Elevator

The photos are sample images that represent the standard construction and may differ from the actual floor plan.

If required and available, a parking space can be rented for CHF 130.00 per month.

The “Greifensee, Pfisterhölzli” bus stop with bus line 727 in the direction of “Schwerzenbach ZH, Bahnhof” is practically on the doorstep.

A Migros and various service providers are located near the ""Nänikon-Greifensee"" train station and are easily accessible by public transport.

The Greifensee, which is ideal for walking and swimming and relaxing in summer, is located near the property.

Does this beautiful apartment meet your expectations?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,1170.0,2.0,54.0,POINT (8.690598747336383 47.36475775),0.0002837806921187179,1971.0,Greifensee
31,"
Modern apartment in a central location not far from Stettbach train station
The Altwiesen property was rebuilt in 2014 and, in addition to the ultra-modern equipment (Minergie standard, floor heating, high-quality materials) and the excellent infrastructure, offers you the following features:

- Built-in cupboard in the entrance
- spacious and bright living room
- Living room and bedroom with matt oak parquet floors
- open kitchen with modern equipment
- Kitchen and bathroom with stoneware mosaic unglazed matt dark
- with glass ceramic stove
- with dishwasher
- modern bathroom with bathtub
- with its own washing tower
- spacious roof terrace
- Basement compartment
- Elevator

These are sample images that show the standard of construction. Please see the floor plan for the exact room layout.

If required and subject to availability, a parking space can be rented for CHF 140.00 per month.

The versatile Heerenschürli sports facility, jogging trails, the Glatt shopping center, all kinds of services, restaurants and walking paths in the countryside, all of this is not far from your new home.

The Altwiesen property is perfectly located for public transport users: Stettbach S-Bahn station with direct connections to the main train station and Stadelhofen, two tram lines, the Glatttalbahn directly to Zurich Airport, several bus lines, everything can be reached in just a few minutes. Drivers can reach the connection to the motorway in around 5 minutes.

The nearby Glatt shopping center leaves nothing to be desired for shopping. On the way home you can easily stop at Schwamendingerplatz, where you will find all sorts of shopping opportunities and service providers.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2400.0,3.5,90.0,POINT (8.591457523942811 47.400155600000005),0.0016081182123229892,2014.0,Zürich
32,"
Charming city apartment in district 3!
We are renting a cozy city apartment as of April 1st, 2024. This is centrally located in a quiet house. The apartment on the 1st floor with 68sqm impresses with:

- Living/dining area and corridor with parquet
- Bedroom with parquet
- Completed kitchen with usual comfort and stone countertops
- Bathroom with bathtub and plates
- small balcony
- Basement compartment
- Lift available
- no parking spaces/garages

A visit is worth it! We look forward to your registration.

The visit takes place as follows:
- 01/19/2024 / 01/20/2024 / 01/26/2024
- January 19th, 2024 and January 26th, 2024 from 6:00 p.m. to 8:00 p.m
- January 20, 2024 from 10 a.m. to 12 p.m


Please ring Ms. Schlatter's bell (without making an appointment).
Read more",Apartment,1870.0,2.5,68.0,POINT (8.514012599999994 47.37435615),0.000724716067482205,1898.0,Zürich
33,"
Charming cozy apartment near the lake
Nicely renovated cozy apartment in nice area of Seefeld, one of the most popular areas in Zurich near the lake.
Bedsofa, boxspringbed, dish washer and close to tram which takes you to the Opera and Stadelhofen.
Due to construction until March the rent has been lowered.
Fully furnished and equipped.
High-speed internet.
Storage room
\ nNote: Prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2950.0,7.0,50.0,POINT (8.5598206 47.3554266),0.001598821800636953,1917.0,Zürich
34,"
Something is blooming for you here! Great apartment renovated hip and chic
The practical floor plan of the 4.5-room apartment creates a cozy feeling of space. Thanks to the clever division into rooms with privacy and large, open living and dining areas, you can develop in your apartment as you wish.

The apartment offers lots of light and sun, lots of storage space thanks to built-in cupboards and, thanks to the room design, a lot of freedom for individual furnishing.

A modern kitchen and your own washing tower are also waiting for you.

Curious? Then we look forward to hearing from you and welcoming you as a new tenant soon.

The photos show the standard.
Read more",Apartment,2350.0,4.5,96.0,POINT (8.604196486536274 47.394953400000006),0.0007238004650572461,1987.0,Dübendorf
35,"
Chic Enge 2 ZW with WT, close to the market
Come and feel at home from day one in this stylish 2-room apartment in Zurich. You will love coming home to this tastefully decorated, well thought out and fully equipped District 2, narrow apartment with breathtaking views of the city of See. (ID",Furnished flat,3069.0,4.0,52.0,POINT (8.526935 47.3542027),0.0009923000513840867,1899.0,Zürich
36,"
Apartment with charm and close to the city!
The apartment is located on a quiet side street and is still close to the city, close to various shops and public transport.

The apartment also has the following to offer:

- Bright and light-flooded rooms
- Beautiful kitchen with glass ceramic stove
- Living room with parquet floors
- Dark slab floors in the kitchen and bathroom
- Enough storage space thanks to the built-in cupboard and your own cellar compartment

(The photos correspond to the standard - small deviations are possible.)
Read more",Apartment,1094.0,1.0,30.0,POINT (8.733158110421275 47.4897237),0.0018251532818737415,1965.0,Winterthur
37,"
Premium Loft PZ5
Our Premium Loft offers more living space and luxury, which more than meets the demanding design taste. The premium lofts are designed in two different styles and have a warm or cooler interior. The interior design is unique and the materials are very high quality to exclusive. The high, visible concrete ceiling conveys an airy and industrial feeling of space and the wonderful view of the city of Zurich is the highlight of the Premium Lofts.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3963.0,1.0,44.0,POINT (8.4869214 47.3897448),0.00035926015300393686,1963.0,Zürich
38,"
Close to nature - with a view and a quiet camp
We are renting this beautiful 3.5-room apartment in HP in Freienstein on April 1st, 2024 or by arrangement. The apartment offers you the following expansion:

Modern kitchen with dishwasher, ceramic glass and dining area
Kitchen, dining area, bathroom and corridor with slab floors
Bright bathroom with bathtub, sink and toilet
Living room with parquet

The outdoor pool with a large playground and sports field can be easily reached on foot. The bus stop and the train station can be reached in a few minutes.

Parking spaces in the underground car park or outside parking spaces can be rented.

Please note that the advertisement contains sample photos and may differ from the original.
Read more",Apartment,1450.0,3.5,76.0,POINT (8.580378560112724 47.536915),0.001887093652167073,1970.0,Freienstein-Teufen
39,"
Your new home in Wetzikon ZH
We rent this large apartment in a central and very quiet location. Shops and public transport can be reached in just a few minutes on foot.

The apartment offers you the following comfort:

spacious kitchen with ceramic glass and dishwasher
modern bathroom with bathtub
separate toilet
separate redoubt",Apartment,1400.0,3.5,88.0,POINT (8.8085634 47.32600225),0.0016244627309640743,1974.0,Wetzikon (ZH)
